,zipcode,street_address,person_recovered_from_race,ucr_category
14655,40213,1200_Quest_Dr,Black,Wpns_Law_Violation
14656,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14659,40216,1900_Lower_Hunters_Trce,White,Aggravated_Assault
14660,40202,600_W_Jefferson_St,Black,Aggravated_Assault
14661,40210,2000_St_Louis_Ave,Black,Wpns_Law_Violation
14662,40202,600_W_Jefferson_St,White,Wpns_Law_Violation
14663,40210,2100_W_Ormsby_Ave,Black,Aggravated_Assault
14664,40215,3300_Taylor_Blvd,Black,Wpns_Law_Violation
14665,40203,1400_W_Jefferson_St,Black,Wpns_Law_Violation
14666,40206,800_Barret_Ave,,Aggravated_Assault
14667,40206,1500_Frankfort_Ave,,Aggravated_Assault
14668,40204,800_Barret_Ave,,Aggravated_Assault
14669,40204,1500_Frankfort_Ave,,Aggravated_Assault
14670,40216,4300_Dover_Rd,White,Theft_Other
14671,40202,600_W_Jefferson_St,White,Stolen_Property
14672,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14675,40212,200_N_35th_St,Black,Wpns_Law_Violation
14677,40212,200_N_35th_St,Black,Wpns_Law_Violation
14679,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14681,40208,1500_S_9th_St,White,Aggravated_Assault
14682,40218,3800_Bishop_Ln,White,Theft_Fr_Veh
14683,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14687,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14688,40212,3500_W_Market_St,Black,Narcotics
14692,40210,1400_Dixie_Hwy,,Robbery
14693,40219,4300_Norene_Ln,Black,Wpns_Law_Violation
14694,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14695,40202,600_W_Jefferson_St,Black,Robbery
14696,40211,3400_Vermont_Ave,Black,Stolen_Property
14697,40218,3700_Noblitt_Dr,Hispanic,Aggravated_Assault
14699,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14700,40202,300_S_1st_St,Black,Kidnapping_Only
14701,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14702,40202,600_W_Jefferson_St,,Narcotics
14703,40272,2400_Autumn_Lake_Dr,Black,Aggravated_Assault
14704,40211,600_Curry_Ct,,Wpns_Law_Violation
14707,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14709,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14711,40258,6800_Greenwood_Rd,White,Narcotics
14712,40202,400_S_4th_St,White,Wpns_Law_Violation
14713,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14716,40210,2100_Dixie_Hwy,Black,Aggravated_Assault
14717,40118,600_Glengarry_Dr,White,Intimidation
14720,40202,600_W_Jefferson_St,Black,Narcotics
14722,40202,600_W_Jefferson_St,Black,Narcotics
14724,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14729,40203,700_S_Shelby_St,,Aggravated_Assault
14731,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14733,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14735,40212,100_S44th_St,Black,Wpns_Law_Violation
14736,40210,2000_Wilson_Ave,,Wpns_Law_Violation
14739,40212,100_S_30th_St,Black,Robbery
14740,40203,1000_S_Jackson_St,Black,Narcotics
14741,40212,400_N_43rd_St,Black,Aggravated_Assault
14743,40212,400_N_43rd_St,Black,Aggravated_Assault
14745,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14746,40219,5000_Poplar_Level_Rd,Black,Stolen_Property
14747,40202,600_W_Jefferson_St,Black,Theft_Other
14748,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14749,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14750,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14751,40202,600_W_Jefferson_St,Black,Narcotics_Equip
14753,40215,1600_Thornberry_Ave,Black,Wpns_Law_Violation
14754,40241,3600_Chamberlain_Ln,Black,Wpns_Law_Violation
14755,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14757,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14759,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14760,40212,2500_Bank_St,White,Wpns_Law_Violation
14761,40214,3100_S_3rd_St,White,Aggravated_Assault
14762,40202,600_W_Jefferson_St,,Robbery
14763,40202,600_W_Jefferson_St,Black,Narcotics_Equip
14764,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14765,40202,600_W_Jefferson_St,,Narcotics
14766,40202,600_W_Jefferson_St,,Theft_Fr_Veh
14768,40203,1000_Cedar_Ct,,Wpns_Law_Violation
14769,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14771,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14773,40216,3000_Frank_Lee_Ave,Black,Wpns_Law_Violation
14775,40216,3000_Frank_Lee_Ave,Black,Wpns_Law_Violation
14777,40202,600_W_Jefferson_St,,Stolen_Property
14786,40202,600_W_Jefferson_St,,Stolen_Property
14795,40202,600_W_Jefferson_St,,Stolen_Property
14804,40202,600_W_Jefferson_St,,Stolen_Property
14813,40202,600_W_Jefferson_St,,Stolen_Property
14822,40202,600_W_Jefferson_St,,Stolen_Property
14831,40202,600_W_Jefferson_St,,Stolen_Property
14840,40202,600_W_Jefferson_St,,Stolen_Property
14849,40202,600_W_Jefferson_St,,Stolen_Property
14858,40211,700_S_32nd_St,Black,Accidental_Shooting
14860,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14861,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14862,40202,600_W_Jefferson_St,,Stolen_Property
14864,40218,3700_Glenmeade_Rd,Black,Robbery
14865,40202,600_W_Jefferson_St,,Narcotics_Equip
14867,40202,600_W_Jefferson_St,,Narcotics_Equip
14869,40118,10700_Jefferson_Hill_Rd,White,Narcotics
14873,40118,10700_Jefferson_Hill_Rd,White,Narcotics
14877,40118,10700_Jefferson_Hill_Rd,White,Narcotics
14881,40118,10700_Jefferson_Hill_Rd,White,Narcotics
14885,40211,600_S_44th_St,Black,Robbery
14886,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14888,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14890,40258,6800_Dixie_Hwy,White,Narcotics
14891,40258,7800_Bluebonnet_Rd,White,Burglary
14892,40206,2300_Frankfort_Ave,White,Wpns_Law_Violation
